id,date_time,rpi_id,room_id,temp,humidity,light,sound,flame,vibration,motion,smoke,co,lpg
2020-06-10 23:51:21_m1_r1,2020-06-10 23:51:21,m1,r1,29.0,51.0,0,4,0,0,58,0.0222729492464025,0.005548593916587276,0.008302256949120635
2020-06-10 23:52:22_m1_r1,2020-06-10 23:52:22,m1,r1,29.0,51.0,0,2,0,0,40,0.022180114459391085,0.0055186834508695465,0.008269857184161705
2020-06-10 23:53:23_m1_r1,2020-06-10 23:53:23,m1,r1,29.0,51.0,0,2,0,0,0,0.0222729492464025,0.005548593916587276,0.008302256949120635
2020-06-10 23:54:23_m1_r1,2020-06-10 23:54:23,m1,r1,29.0,51.0,0,3,0,0,14,0.022231075151915934,0.0055350979417480815,0.008287643768070544
2020-06-10 23:55:26_m1_r1,2020-06-10 23:55:26,m1,r1,29.0,51.0,0,2,0,0,47,0.022180114459391085,0.0055186834508695465,0.008269857184161705
2020-06-10 23:56:26_m1_r1,2020-06-10 23:56:26,m1,r1,29.0,51.0,0,1,0,0,0,0.022124716896464308,0.005500852418789792,0.00825051905965025
2020-06-10 23:57:27_m1_r1,2020-06-10 23:57:27,m1,r1,29.0,51.0,0,2,0,0,0,0.022069678045300797,0.005483149845971158,0.00823130309294146
2020-06-10 23:58:28_m1_r1,2020-06-10 23:58:28,m1,r1,29.0,51.0,0,5,0,0,0,0.022097177060266555,0.0054919929464937785,0.008240904332124611
2020-06-10 23:59:29_m1_r1,2020-06-10 23:59:29,m1,r1,29.0,51.0,0,2,0,0,0,0.022097177060266555,0.0054919929464937785,0.008240904332124611
2020-06-11 00:00:30_m1_r1,2020-06-11 00:00:30,m1,r1,29.0,51.0,0,2,0,0,0,0.022097177060266555,0.0054919929464937785,0.008240904332124611
2020-06-11 00:01:34_m1_r1,2020-06-11 00:01:34,m1,r1,29.0,51.0,0,2,0,0,15,0.022097177060266555,0.0054919929464937785,0.008240904332124611
2020-06-11 00:02:34_m1_r1,2020-06-11 00:02:34,m1,r1,29.0,51.0,0,2,0,0,31,0.022097177060266555,0.0054919929464937785,0.008240904332124611
2020-06-11 00:03:35_m1_r1,2020-06-11 00:03:35,m1,r1,29.0,51.0,0,2,0,0,14,0.022124716896464308,0.005500852418789792,0.00825051905965025
2020-06-11 00:04:38_m1_r1,2020-06-11 00:04:38,m1,r1,29.0,51.0,0,1,0,0,0,0.0220422197813687,0.005474323083083513,0.008221715319975786
2020-06-11 00:05:38_m1_r1,2020-06-11 00:05:38,m1,r1,29.0,51.0,0,3,0,0,29,0.0219874252264981,0.005456718434055325,0.008202580084404502
2020-06-11 00:06:39_m1_r1,2020-06-11 00:06:39,m1,r1,29.0,51.0,0,5,0,0,22,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 00:07:40_m1_r1,2020-06-11 00:07:40,m1,r1,29.0,52.0,0,2,0,0,0,0.0219874252264981,0.005456718434055325,0.008202580084404502
2020-06-11 00:08:41_m1_r1,2020-06-11 00:08:41,m1,r1,29.0,51.0,0,3,0,0,49,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 00:09:41_m1_r1,2020-06-11 00:09:41,m1,r1,29.0,52.0,0,1,0,0,0,0.021883245184246378,0.005423282581409242,0.008166190153559738
2020-06-11 00:10:42_m1_r1,2020-06-11 00:10:42,m1,r1,29.0,52.0,0,1,0,0,0,0.021883245184246378,0.005423282581409242,0.008166190153559738
2020-06-11 00:11:43_m1_r1,2020-06-11 00:11:43,m1,r1,29.0,52.0,0,3,0,0,0,0.021878735865494107,0.005421836402440894,0.008164614806043424
2020-06-11 00:12:44_m1_r1,2020-06-11 00:12:44,m1,r1,29.0,52.0,0,3,0,0,0,0.02188775561003324,0.005424729203096513,0.008167765867094846
2020-06-11 00:13:45_m1_r1,2020-06-11 00:13:45,m1,r1,29.0,52.0,0,3,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 00:14:45_m1_r1,2020-06-11 00:14:45,m1,r1,29.0,52.0,0,2,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 00:15:46_m1_r1,2020-06-11 00:15:46,m1,r1,29.0,52.0,0,1,0,0,0,0.02191035612847191,0.005431979151558849,0.008175661027582163
2020-06-11 00:16:47_m1_r1,2020-06-11 00:16:47,m1,r1,29.0,52.0,0,2,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 00:17:49_m1_r1,2020-06-11 00:17:49,m1,r1,29.0,52.0,0,1,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 00:18:50_m1_r1,2020-06-11 00:18:50,m1,r1,29.0,52.0,0,1,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 00:19:51_m1_r1,2020-06-11 00:19:51,m1,r1,29.0,52.0,0,4,0,0,0,0.0219874252264981,0.005456718434055325,0.008202580084404502
2020-06-11 00:20:53_m1_r1,2020-06-11 00:20:53,m1,r1,29.0,52.0,0,3,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 00:21:54_m1_r1,2020-06-11 00:21:54,m1,r1,29.0,52.0,0,4,0,0,0,0.0219874252264981,0.005456718434055325,0.008202580084404502
2020-06-11 00:22:55_m1_r1,2020-06-11 00:22:55,m1,r1,29.0,52.0,0,1,0,0,0,0.021969260435662146,0.0054508852114057375,0.008196235944121924
2020-06-11 00:23:56_m1_r1,2020-06-11 00:23:56,m1,r1,29.0,52.0,0,2,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 00:24:58_m1_r1,2020-06-11 00:24:58,m1,r1,29.0,52.0,0,2,0,0,0,0.0220422197813687,0.005474323083083513,0.008221715319975786
2020-06-11 00:25:59_m1_r1,2020-06-11 00:25:59,m1,r1,29.0,52.0,0,2,0,0,0,0.022069678045300797,0.005483149845971158,0.00823130309294146
2020-06-11 00:27:00_m1_r1,2020-06-11 00:27:00,m1,r1,29.0,52.0,0,1,0,0,0,0.0220422197813687,0.005474323083083513,0.008221715319975786
2020-06-11 00:28:00_m1_r1,2020-06-11 00:28:00,m1,r1,29.0,52.0,0,1,0,0,0,0.022069678045300797,0.005483149845971158,0.00823130309294146
2020-06-11 00:29:01_m1_r1,2020-06-11 00:29:01,m1,r1,29.0,52.0,0,4,0,0,0,0.022069678045300797,0.005483149845971158,0.00823130309294146
2020-06-11 00:30:02_m1_r1,2020-06-11 00:30:02,m1,r1,29.0,52.0,0,1,0,0,0,0.021969260435662146,0.0054508852114057375,0.008196235944121924
2020-06-11 00:31:04_m1_r1,2020-06-11 00:31:04,m1,r1,29.0,52.0,0,1,0,0,0,0.021969260435662146,0.0054508852114057375,0.008196235944121924
2020-06-11 00:32:05_m1_r1,2020-06-11 00:32:05,m1,r1,29.0,52.0,0,2,0,0,0,0.0219874252264981,0.005456718434055325,0.008202580084404502
2020-06-11 00:33:08_m1_r1,2020-06-11 00:33:08,m1,r1,29.0,52.0,0,1,0,0,0,0.022014802198409154,0.005465512623771618,0.008212140991144154
2020-06-11 00:34:08_m1_r1,2020-06-11 00:34:08,m1,r1,29.0,53.0,0,2,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 00:35:09_m1_r1,2020-06-11 00:35:09,m1,r1,29.0,53.0,0,4,0,0,0,0.021969260435662146,0.0054508852114057375,0.008196235944121924
2020-06-11 00:36:12_m1_r1,2020-06-11 00:36:12,m1,r1,29.0,53.0,0,4,0,0,0,0.0219874252264981,0.005456718434055325,0.008202580084404502
2020-06-11 00:37:12_m1_r1,2020-06-11 00:37:12,m1,r1,29.0,53.0,0,4,0,0,0,0.021969260435662146,0.0054508852114057375,0.008196235944121924
2020-06-11 00:38:13_m1_r1,2020-06-11 00:38:13,m1,r1,29.0,53.0,0,3,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 00:39:14_m1_r1,2020-06-11 00:39:14,m1,r1,29.0,53.0,0,3,0,0,0,0.02190132529010177,0.005429081913648391,0.008172506298698938
2020-06-11 00:40:16_m1_r1,2020-06-11 00:40:16,m1,r1,29.0,52.0,0,2,0,0,0,0.0219874252264981,0.005456718434055325,0.008202580084404502
2020-06-11 00:41:19_m1_r1,2020-06-11 00:41:19,m1,r1,29.0,52.0,0,1,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 00:42:19_m1_r1,2020-06-11 00:42:19,m1,r1,29.0,53.0,0,2,0,0,0,0.0219874252264981,0.005456718434055325,0.008202580084404502
2020-06-11 00:43:22_m1_r1,2020-06-11 00:43:22,m1,r1,29.0,53.0,0,1,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 00:44:24_m1_r1,2020-06-11 00:44:24,m1,r1,29.0,52.0,0,2,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 00:45:25_m1_r1,2020-06-11 00:45:25,m1,r1,29.0,53.0,0,2,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 00:46:26_m1_r1,2020-06-11 00:46:26,m1,r1,29.0,52.0,0,2,0,0,0,0.021969260435662146,0.0054508852114057375,0.008196235944121924
2020-06-11 00:47:27_m1_r1,2020-06-11 00:47:27,m1,r1,29.0,53.0,0,2,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 00:48:27_m1_r1,2020-06-11 00:48:27,m1,r1,29.0,53.0,0,5,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 00:49:30_m1_r1,2020-06-11 00:49:30,m1,r1,29.0,52.0,0,0,0,0,0,0.021969260435662146,0.0054508852114057375,0.008196235944121924
2020-06-11 00:50:32_m1_r1,2020-06-11 00:50:32,m1,r1,29.0,53.0,0,1,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 00:51:34_m1_r1,2020-06-11 00:51:34,m1,r1,29.0,52.0,0,1,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 00:52:35_m1_r1,2020-06-11 00:52:35,m1,r1,29.0,53.0,0,3,0,0,0,0.0219874252264981,0.005456718434055325,0.008202580084404502
2020-06-11 00:53:36_m1_r1,2020-06-11 00:53:36,m1,r1,29.0,53.0,0,3,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 00:54:37_m1_r1,2020-06-11 00:54:37,m1,r1,29.0,53.0,0,2,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 00:55:38_m1_r1,2020-06-11 00:55:38,m1,r1,29.0,53.0,0,4,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 00:56:40_m1_r1,2020-06-11 00:56:40,m1,r1,29.0,52.0,0,1,0,0,0,0.021969260435662146,0.0054508852114057375,0.008196235944121924
2020-06-11 00:57:41_m1_r1,2020-06-11 00:57:41,m1,r1,29.0,53.0,0,2,0,0,0,0.021969260435662146,0.0054508852114057375,0.008196235944121924
2020-06-11 00:58:42_m1_r1,2020-06-11 00:58:42,m1,r1,29.0,53.0,0,1,0,0,0,0.021969260435662146,0.0054508852114057375,0.008196235944121924
2020-06-11 00:59:42_m1_r1,2020-06-11 00:59:42,m1,r1,29.0,53.0,0,2,0,0,0,0.021969260435662146,0.0054508852114057375,0.008196235944121924
2020-06-11 01:00:43_m1_r1,2020-06-11 01:00:43,m1,r1,29.0,53.0,0,1,0,0,0,0.0219874252264981,0.005456718434055325,0.008202580084404502
2020-06-11 01:01:44_m1_r1,2020-06-11 01:01:44,m1,r1,29.0,53.0,0,2,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 01:02:45_m1_r1,2020-06-11 01:02:45,m1,r1,29.0,53.0,0,2,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 01:03:46_m1_r1,2020-06-11 01:03:46,m1,r1,29.0,53.0,0,3,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 01:04:46_m1_r1,2020-06-11 01:04:46,m1,r1,29.0,53.0,0,1,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 01:05:47_m1_r1,2020-06-11 01:05:47,m1,r1,29.0,53.0,0,3,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 01:06:48_m1_r1,2020-06-11 01:06:48,m1,r1,29.0,53.0,0,2,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 01:07:49_m1_r1,2020-06-11 01:07:49,m1,r1,29.0,53.0,0,4,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 01:08:50_m1_r1,2020-06-11 01:08:50,m1,r1,29.0,53.0,0,3,0,0,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:09:50_m1_r1,2020-06-11 01:09:50,m1,r1,29.0,52.0,0,2,0,0,0,0.02188775561003324,0.005424729203096513,0.008167765867094846
2020-06-11 01:10:51_m1_r1,2020-06-11 01:10:51,m1,r1,29.0,53.0,0,3,0,0,0,0.021878735865494107,0.005421836402440894,0.008164614806043424
2020-06-11 01:11:52_m1_r1,2020-06-11 01:11:52,m1,r1,29.0,53.0,0,2,0,0,0,0.02186074124179724,0.005416066238259905,0.008158328109962493
2020-06-11 01:12:53_m1_r1,2020-06-11 01:12:53,m1,r1,29.0,52.0,0,1,0,0,0,0.021878735865494107,0.005421836402440894,0.008164614806043424
2020-06-11 01:13:54_m1_r1,2020-06-11 01:13:54,m1,r1,29.0,53.0,0,2,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:14:54_m1_r1,2020-06-11 01:14:54,m1,r1,29.0,53.0,0,1,0,0,0,0.021883245184246378,0.005423282581409242,0.008166190153559738
2020-06-11 01:15:55_m1_r1,2020-06-11 01:15:55,m1,r1,29.0,53.0,0,2,0,0,0,0.021883245184246378,0.005423282581409242,0.008166190153559738
2020-06-11 01:16:56_m1_r1,2020-06-11 01:16:56,m1,r1,29.0,52.0,0,2,0,0,0,0.021878735865494107,0.005421836402440894,0.008164614806043424
2020-06-11 01:17:58_m1_r1,2020-06-11 01:17:58,m1,r1,29.0,52.0,0,1,0,0,0,0.021856237445739293,0.0054146222674948015,0.00815675458848618
2020-06-11 01:18:59_m1_r1,2020-06-11 01:18:59,m1,r1,29.0,53.0,0,3,0,0,0,0.021969260435662146,0.0054508852114057375,0.008196235944121924
2020-06-11 01:20:00_m1_r1,2020-06-11 01:20:00,m1,r1,29.0,52.0,0,1,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:21:01_m1_r1,2020-06-11 01:21:01,m1,r1,29.0,52.0,0,3,0,0,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:22:01_m1_r1,2020-06-11 01:22:01,m1,r1,29.0,53.0,0,2,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 01:23:02_m1_r1,2020-06-11 01:23:02,m1,r1,29.0,52.0,0,5,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 01:24:03_m1_r1,2020-06-11 01:24:03,m1,r1,29.0,52.0,0,2,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 01:25:04_m1_r1,2020-06-11 01:25:04,m1,r1,29.0,52.0,0,2,0,2,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:26:05_m1_r1,2020-06-11 01:26:05,m1,r1,29.0,52.0,0,3,0,0,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:27:05_m1_r1,2020-06-11 01:27:05,m1,r1,29.0,53.0,0,1,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 01:28:06_m1_r1,2020-06-11 01:28:06,m1,r1,29.0,53.0,0,2,0,0,17,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:29:07_m1_r1,2020-06-11 01:29:07,m1,r1,29.0,53.0,0,1,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:30:09_m1_r1,2020-06-11 01:30:09,m1,r1,29.0,52.0,0,2,0,0,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:31:10_m1_r1,2020-06-11 01:31:10,m1,r1,29.0,52.0,0,3,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:32:11_m1_r1,2020-06-11 01:32:11,m1,r1,29.0,52.0,0,2,0,1,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:33:12_m1_r1,2020-06-11 01:33:12,m1,r1,29.0,52.0,0,1,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:34:13_m1_r1,2020-06-11 01:34:13,m1,r1,29.0,53.0,0,3,0,0,0,0.02191035612847191,0.005431979151558849,0.008175661027582163
2020-06-11 01:35:13_m1_r1,2020-06-11 01:35:13,m1,r1,29.0,52.0,0,2,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:36:17_m1_r1,2020-06-11 01:36:17,m1,r1,29.0,52.0,0,2,0,0,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:37:18_m1_r1,2020-06-11 01:37:18,m1,r1,29.0,52.0,0,4,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:38:19_m1_r1,2020-06-11 01:38:19,m1,r1,29.0,52.0,0,4,0,2,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:39:20_m1_r1,2020-06-11 01:39:20,m1,r1,29.0,52.0,0,2,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 01:40:20_m1_r1,2020-06-11 01:40:20,m1,r1,29.0,52.0,0,2,0,0,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:41:21_m1_r1,2020-06-11 01:41:21,m1,r1,29.0,52.0,0,2,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 01:42:22_m1_r1,2020-06-11 01:42:22,m1,r1,29.0,52.0,0,1,0,0,0,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:43:23_m1_r1,2020-06-11 01:43:23,m1,r1,29.0,52.0,0,2,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:44:24_m1_r1,2020-06-11 01:44:24,m1,r1,29.0,52.0,0,1,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 01:45:24_m1_r1,2020-06-11 01:45:24,m1,r1,29.0,52.0,0,2,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 01:46:25_m1_r1,2020-06-11 01:46:25,m1,r1,29.0,52.0,0,2,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 01:47:26_m1_r1,2020-06-11 01:47:26,m1,r1,29.0,52.0,0,2,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 01:48:27_m1_r1,2020-06-11 01:48:27,m1,r1,29.0,52.0,0,2,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 01:49:28_m1_r1,2020-06-11 01:49:28,m1,r1,29.0,52.0,0,1,0,0,95,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 01:50:28_m1_r1,2020-06-11 01:50:28,m1,r1,29.0,52.0,0,2,0,0,0,0.021878735865494107,0.005421836402440894,0.008164614806043424
